label,dataset,domain,measure_class,Structure,canonical_structure,Measure,Unit,structure_qualifier,structure_source,is_measurement,note,poolable_group
Medulla_O.n,Cell counts,cellular composition,other_cell_number,Medulla,Medulla,O.n,count,,_keys/anatomy_reference.csv,True,,
Mesencephalon_O.n,Cell counts,cellular composition,other_cell_number,Mesencephalon,Mesencephalon,O.n,count,,_keys/anatomy_reference.csv,True,,
OlfactoryBulb_O.n,Cell counts,cellular composition,other_cell_number,OlfactoryBulb,OlfactoryBulb,O.n,count,,_keys/anatomy_reference.csv,True,,
Pons_O.n,Cell counts,cellular composition,other_cell_number,Pons,Pons,O.n,count,,_keys/anatomy_reference.csv,True,,
RoB_O.n,Cell counts,cellular composition,other_cell_number,RoB,RoB,O.n,count,,_keys/anatomy_reference.csv,True,,
SpinalCord_O.n,Cell counts,cellular composition,other_cell_number,SpinalCord,SpinalCord,O.n,count,,_keys/anatomy_reference.csv,True,,
WholeBrain_O.n,Cell counts,cellular composition,other_cell_number,WholeBrain,WholeBrain,O.n,count,,_keys/anatomy_reference.csv,True,,
Amygdala_O.p.N,Cell counts,cellular composition,other_cell_per_neuron,Amygdala,Amygdala,O.p.N,ratio,,_keys/anatomy_reference.csv,True,,
Cerebellum_O.p.N,Cell counts,cellular composition,other_cell_per_neuron,Cerebellum,Cerebellum,O.p.N,ratio,,_keys/anatomy_reference.csv,True,,
CerebralCortex_O.p.N,Cell counts,cellular composition,other_cell_per_neuron,CerebralCortex,CerebralCortex,O.p.N,ratio,,_keys/anatomy_reference.csv,True,,
CerebralCortexGrey_O.p.N,Cell counts,cellular composition,other_cell_per_neuron,CerebralCortexGrey,CerebralCortexGrey,O.p.N,ratio,,_keys/anatomy_reference.csv,True,,
CerebralCortexWhite_O.p.N,Cell counts,cellular composition,other_cell_per_neuron,CerebralCortexWhite,CerebralCortexWhite,O.p.N,ratio,,_keys/anatomy_reference.csv,True,,
DiencephalonStriatum_O.p.N,Cell counts,cellular composition,other_cell_per_neuron,DiencephalonStriatum,DiencephalonStriatum,O.p.N,ratio,,_keys/anatomy_reference.csv,True,,
Hippocampus_O.p.N,Cell counts,cellular composition,other_cell_per_neuron,Hippocampus,Hippocampus,O.p.N,ratio,,_keys/anatomy_reference.csv,True,,
Medulla_O.p.N,Cell counts,cellular composition,other_cell_per_neuron,Medulla,Medulla,O.p.N,ratio,,_keys/anatomy_reference.csv,True,,
Mesencephalon_O.p.N,Cell counts,cellular composition,other_cell_per_neuron,Mesencephalon,Mesencephalon,O.p.N,ratio,,_keys/anatomy_reference.csv,True,,
MesencephalonDiencephalonStriatum_O.p.N,Cell counts,cellular composition,other_cell_per_neuron,MesencephalonDiencephalonStriatum,MesencephalonDiencephalonStriatum,O.p.N,ratio,,_keys/anatomy_reference.csv,True,,
OlfactoryBulb_O.p.N,Cell counts,cellular composition,other_cell_per_neuron,OlfactoryBulb,OlfactoryBulb,O.p.N,ratio,,_keys/anatomy_reference.csv,True,,
Pons_O.p.N,Cell counts,cellular composition,other_cell_per_neuron,Pons,Pons,O.p.N,ratio,,_keys/anatomy_reference.csv,True,,
PonsMedulla_O.p.N,Cell counts,cellular composition,other_cell_per_neuron,PonsMedulla,PonsMedulla,O.p.N,ratio,,_keys/anatomy_reference.csv,True,,
RoB_O.p.N,Cell counts,cellular composition,other_cell_per_neuron,RoB,RoB,O.p.N,ratio,,_keys/anatomy_reference.csv,True,,
WholeBrain_O.p.N,Cell counts,cellular composition,other_cell_per_neuron,WholeBrain,WholeBrain,O.p.N,ratio,,_keys/anatomy_reference.csv,True,,
SpinalCord_p.C.Body.mass,Cell counts,cellular composition,structure_fraction,SpinalCord,SpinalCord,p.C.Body.mass,%,,_keys/anatomy_reference.csv,True,,
SpinalCord_C.n,Cell counts,cellular composition,total_cell_number,SpinalCord,SpinalCord,C.n,count,,_keys/anatomy_reference.csv,True,,
WholeBrain_C.n,Cell counts,cellular composition,total_cell_number,WholeBrain,WholeBrain,C.n,count,,_keys/anatomy_reference.csv,True,,
V1_mitochondria_density_per_mm2,EvoM1 traits,cellular composition,v1_ultrastructure,V1,V1,MitochondriaDensity.p.mm2,1/mm2,,_keys/anatomy_reference.csv,True,"Karl et al. 2024, printed as ""Mitochondria density (mm2)"". Source table: ____EvoM1_TraitTable/v1_synapses_karl.xlsx — Karl et al. 2024 V1 synapse / mitochondria table.",
V1_neuron_density_per_mm2,EvoM1 traits,cellular composition,v1_ultrastructure,V1,V1,NeuronDensity.p.mm2,1/mm2,,_keys/anatomy_reference.csv,True,"Karl et al. 2024, printed as ""Neuron density (mm2)"". Source table: ____EvoM1_TraitTable/v1_synapses_karl.xlsx — Karl et al. 2024 V1 synapse / mitochondria table.",
V1_PSD_length_nm,EvoM1 traits,cellular composition,v1_ultrastructure,V1,V1,PSDLength.nm,nm,,_keys/anatomy_reference.csv,True,Karl et al. 2024 postsynaptic-density length. Source table: ____EvoM1_TraitTable/v1_synapses_karl.xlsx — Karl et al. 2024 V1 synapse / mitochondria table.,
V1_synapse_density_per_mm2,EvoM1 traits,cellular composition,v1_ultrastructure,V1,V1,SynapseDensity.p.mm2,1/mm2,,_keys/anatomy_reference.csv,True,"Karl et al. 2024, printed as ""Synapse density (mm2)"". Source table: ____EvoM1_TraitTable/v1_synapses_karl.xlsx — Karl et al. 2024 V1 synapse / mitochondria table.",
Cerebellar_section_area (mm2),Cerebellar folding,cortical & cerebellar folding,cerebellar_folding,Cerebellum,Cerebellum,Cerebellar_section_area,mm2,,_keys/variable_catalog.csv (Heuer_etal_2023),True,Merge-file row: measure_class reused verbatim from the merge.,
Cerebellar_section_length (mm),Cerebellar folding,cortical & cerebellar folding,cerebellar_folding,Cerebellum,Cerebellum,Cerebellar_section_length,mm,,_keys/variable_catalog.csv (Heuer_etal_2023),True,Merge-file row: measure_class reused verbatim from the merge.,
Cerebral_section_area (mm2),Cerebellar folding,cortical & cerebellar folding,cerebellar_folding,Cerebrum,Cerebrum,Cerebral_section_area,mm2,,_keys/variable_catalog.csv (Heuer_etal_2023),True,Merge-file row: measure_class reused verbatim from the merge.,
Cerebral_section_length (mm),Cerebellar folding,cortical & cerebellar folding,cerebellar_folding,Cerebrum,Cerebrum,Cerebral_section_length,mm,,_keys/variable_catalog.csv (Heuer_etal_2023),True,Merge-file row: measure_class reused verbatim from the merge.,
Folial_perimeter_median (mm),Cerebellar folding,cortical & cerebellar folding,cerebellar_folding,Cerebellum,Cerebellum,Folial_perimeter_median,mm,,_keys/variable_catalog.csv (Heuer_etal_2023),True,Merge-file row: measure_class reused verbatim from the merge.,
Folial_width_median (mm),Cerebellar folding,cortical & cerebellar folding,cerebellar_folding,Cerebellum,Cerebellum,Folial_width_median,mm,,_keys/variable_catalog.csv (Heuer_etal_2023),True,Merge-file row: measure_class reused verbatim from the merge.,
Molecular_layer_thickness_median (mm),Cerebellar folding,cortical & cerebellar folding,cerebellar_folding,Cerebellum,Cerebellum,Molecular_layer_thickness_median,mm,,_keys/variable_catalog.csv (Heuer_etal_2023),True,Merge-file row: measure_class reused verbatim from the merge.,
GI,EvoM1 traits,cortical & cerebellar folding,gyrification,Neocortex,Neocortex,GI.ratio,ratio,,_keys/anatomy_reference.csv,True,Gyrification index (Zilles definition). Never pooled with the Mota & Herculano-Houzel folding index. Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
Species_as_printed,EvoM1 traits,dataset metadata,provenance,,,SpeciesAsPrinted,text,,,False,Species name exactly as printed in the source table. Not a measurement — the app should hide it. Source table: ____EvoM1_TraitTable/dexterity_corticospinaltract.xlsx — Heffner & Masterton 1975 corticospinal-tract table.,
species_basis,EvoM1 traits,dataset metadata,provenance,,,SpeciesBasis,text,,,False,Basis on which the printed name was resolved. Not a measurement — hide. Source table: ____EvoM1_TraitTable/dexterity_corticospinaltract.xlsx — Heffner & Masterton 1975 corticospinal-tract table.,
Species_Kazu2015,Cell counts,dataset metadata,provenance,,,Species_Kazu2015,text,,Kazu_etal_2015/reference_tables/Kazu_etal_2015_TABLE1_definitions.csv,False,Species name exactly as printed in the Kazu et al. 2015 table header. role=info in Kazu_etal_2015/reference_tables/Kazu_etal_2015_TABLE1_definitions.csv. Not a measurement — the app should hide it.,
body_mass_approximate,Cell counts,dataset metadata,qc_flag,,,body_mass_approximate,text,,Kazu_etal_2015/reference_tables/Kazu_etal_2015_TABLE1_definitions.csv,False,TRUE where the printed body mass carries the approximation sign (~). role=note in Kazu_etal_2015/reference_tables/Kazu_etal_2015_TABLE1_definitions.csv. Not a measurement — the app should hide it.,
consistency_flags,Cell counts,dataset metadata,qc_flag,,,consistency_flags,text,,Kazu_etal_2015/reference_tables/Kazu_etal_2015_TABLE1_definitions.csv,False,Failures of the internal arithmetic checks run over the printed values. role=note in Kazu_etal_2015/reference_tables/Kazu_etal_2015_TABLE1_definitions.csv. Not a measurement — the app should hide it.,
parse_flags,Cell counts,dataset metadata,qc_flag,,,parse_flags,text,,Kazu_etal_2015/reference_tables/Kazu_etal_2015_TABLE1_definitions.csv,False,Printed cells that could not be parsed to a number or that carry an approximation sign. role=note in Kazu_etal_2015/reference_tables/Kazu_etal_2015_TABLE1_definitions.csv. Not a measurement — the app should hide it.,
source_printing,Cell counts,dataset metadata,qc_flag,,,source_printing,text,,Kazu_etal_2015/reference_tables/Kazu_etal_2015_TABLE1_definitions.csv,False,Which printing of Kazu Table 1 the row was transcribed from. role=note in Kazu_etal_2015/reference_tables/Kazu_etal_2015_TABLE1_definitions.csv. Not a measurement — the app should hide it.,
Journal_search_article_count (articles),Behaviour,dataset metadata,research_effort,,,Journal_search_article_count,articles,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Zoological_record_article_count (articles),Behaviour,dataset metadata,research_effort,,,Zoological_record_article_count,articles,,,True,Merge-file row: measure_class reused verbatim from the merge.,
% Fruit and seeds,EvoM1 traits,diet & ecology,diet_ecology,,,DietFruitSeed.pct,%,,,True,"Lewitus 2014 printing; a combined fruit+seed percentage, NOT the same partition as Wilman Diet_Fruit / Diet_Seed. Not superseded. Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.",
Activity_pattern,EvoM1 traits,diet & ecology,diet_ecology,,,Activity_pattern,category,,,True,Wilman 2014 EltonTraits activity pattern. Superseded by the body_ecology merge; kept as fallback. Source table: ____EvoM1_TraitTable/diet_foraging.xlsx — Wilman et al. 2014 EltonTraits diet & foraging table.,
Activity_pattern (category),Body & ecology,diet & ecology,diet_ecology,,,Activity_pattern,category,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Activity_timing,EvoM1 traits,diet & ecology,diet_ecology,,,ActivityTiming,category,,,True,Lewitus 2014 activity timing. Distinct printing from Wilman Activity_pattern; not superseded. Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
Arboreality,EvoM1 traits,diet & ecology,diet_ecology,,,Arboreality,ordinal,,,True,"Iwaniuk et al. 1999. Only 5/25 species overlap the Arboreal_terrestrial merge measure, so not superseded. Source table: ____EvoM1_TraitTable/corticospinaltract_etc.xlsx — Iwaniuk et al. 1999 corticospinal-tract & ecology table.",
Diet,EvoM1 traits,diet & ecology,diet_ecology,,,DietCategory,ordinal,,,True,Iwaniuk et al. 1999 ordinal diet code. Value scale differs from Wilman Diet_dominant (verified: 0/22 label agreement) so it is NOT superseded. Source table: ____EvoM1_TraitTable/corticospinaltract_etc.xlsx — Iwaniuk et al. 1999 corticospinal-tract & ecology table.,
Diet_breadth,EvoM1 traits,diet & ecology,diet_ecology,,,Diet_breadth,count,,,True,Wilman 2014 EltonTraits number of diet categories used. Superseded by the body_ecology merge; kept as fallback. Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
Diet_breadth (count),Body & ecology,diet & ecology,diet_ecology,,,Diet_breadth,count,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Diet_dominant,EvoM1 traits,diet & ecology,diet_ecology,,,Diet_dominant,category,,,True,Wilman 2014 EltonTraits dominant diet category. Superseded by the body_ecology merge; kept as fallback. Source table: ____EvoM1_TraitTable/diet_foraging.xlsx — Wilman et al. 2014 EltonTraits diet & foraging table.,
Diet_dominant (category),Body & ecology,diet & ecology,diet_ecology,,,Diet_dominant,category,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Diet_Fruit,EvoM1 traits,diet & ecology,diet_ecology,,,Diet.Fruit.pct,%,,,True,Wilman 2014 EltonTraits percent fruit. Superseded by the body_ecology merge; kept as fallback. Source table: ____EvoM1_TraitTable/diet_foraging.xlsx — Wilman et al. 2014 EltonTraits diet & foraging table.,
Diet_Fruit (%),Body & ecology,diet & ecology,diet_ecology,,,Diet_Fruit,%,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Diet_Inv,EvoM1 traits,diet & ecology,diet_ecology,,,Diet.Inv.pct,%,,,True,Wilman 2014 EltonTraits percent invertebrates. Superseded by the body_ecology merge; kept as fallback. Source table: ____EvoM1_TraitTable/diet_foraging.xlsx — Wilman et al. 2014 EltonTraits diet & foraging table.,
Diet_Inv (%),Body & ecology,diet & ecology,diet_ecology,,,Diet_Inv,%,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Diet_Nect,EvoM1 traits,diet & ecology,diet_ecology,,,Diet.Nect.pct,%,,,True,Wilman 2014 EltonTraits percent nectar. Superseded by the body_ecology merge; kept as fallback. Source table: ____EvoM1_TraitTable/diet_foraging.xlsx — Wilman et al. 2014 EltonTraits diet & foraging table.,
Diet_Nect (%),Body & ecology,diet & ecology,diet_ecology,,,Diet_Nect,%,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Diet_PlantO,EvoM1 traits,diet & ecology,diet_ecology,,,Diet.PlantO.pct,%,,,True,Wilman 2014 EltonTraits percent other plant. Superseded by the body_ecology merge; kept as fallback. Source table: ____EvoM1_TraitTable/diet_foraging.xlsx — Wilman et al. 2014 EltonTraits diet & foraging table.,
Diet_PlantO (%),Body & ecology,diet & ecology,diet_ecology,,,Diet_PlantO,%,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Diet_Scav,EvoM1 traits,diet & ecology,diet_ecology,,,Diet.Scav.pct,%,,,True,Wilman 2014 EltonTraits percent carrion/scavenge. Superseded by the body_ecology merge; kept as fallback. Source table: ____EvoM1_TraitTable/diet_foraging.xlsx — Wilman et al. 2014 EltonTraits diet & foraging table.,
Diet_Scav (%),Body & ecology,diet & ecology,diet_ecology,,,Diet_Scav,%,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Diet_Seed,EvoM1 traits,diet & ecology,diet_ecology,,,Diet.Seed.pct,%,,,True,Wilman 2014 EltonTraits percent seed. Superseded by the body_ecology merge; kept as fallback. Source table: ____EvoM1_TraitTable/diet_foraging.xlsx — Wilman et al. 2014 EltonTraits diet & foraging table.,
Diet_Seed (%),Body & ecology,diet & ecology,diet_ecology,,,Diet_Seed,%,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Diet_Vect,EvoM1 traits,diet & ecology,diet_ecology,,,Diet.Vect.pct,%,,,True,Wilman 2014 EltonTraits percent ectotherm vertebrates. Superseded by the body_ecology merge; kept as fallback. Source table: ____EvoM1_TraitTable/diet_foraging.xlsx — Wilman et al. 2014 EltonTraits diet & foraging table.,
Diet_Vect (%),Body & ecology,diet & ecology,diet_ecology,,,Diet_Vect,%,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Diet_Vend,EvoM1 traits,diet & ecology,diet_ecology,,,Diet.Vend.pct,%,,,True,Wilman 2014 EltonTraits percent endotherm vertebrates. Superseded by the body_ecology merge; kept as fallback. Source table: ____EvoM1_TraitTable/diet_foraging.xlsx — Wilman et al. 2014 EltonTraits diet & foraging table.,
Diet_Vend (%),Body & ecology,diet & ecology,diet_ecology,,,Diet_Vend,%,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Diet_Vfish,EvoM1 traits,diet & ecology,diet_ecology,,,Diet.Vfish.pct,%,,,True,Wilman 2014 EltonTraits percent fish. Superseded by the body_ecology merge; kept as fallback. Source table: ____EvoM1_TraitTable/diet_foraging.xlsx — Wilman et al. 2014 EltonTraits diet & foraging table.,
Diet_Vfish (%),Body & ecology,diet & ecology,diet_ecology,,,Diet_Vfish,%,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Diet_Vunk,EvoM1 traits,diet & ecology,diet_ecology,,,Diet.Vunk.pct,%,,,True,Wilman 2014 EltonTraits percent unknown vertebrates. Superseded by the body_ecology merge; kept as fallback. Source table: ____EvoM1_TraitTable/diet_foraging.xlsx — Wilman et al. 2014 EltonTraits diet & foraging table.,
Diet_Vunk (%),Body & ecology,diet & ecology,diet_ecology,,,Diet_Vunk,%,,,True,Merge-file row: measure_class reused verbatim from the merge.,
ForStrat_stratum,EvoM1 traits,diet & ecology,diet_ecology,,,ForStrat_stratum,category,,,True,Wilman 2014 EltonTraits foraging stratum. Superseded by the body_ecology merge; kept as fallback. Source table: ____EvoM1_TraitTable/diet_foraging.xlsx — Wilman et al. 2014 EltonTraits diet & foraging table.,
ForStrat_stratum (category),Body & ecology,diet & ecology,diet_ecology,,,ForStrat_stratum,category,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Habitat_breadth,EvoM1 traits,diet & ecology,diet_ecology,,,HabitatBreadth.count,count,,,True,Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
Max_home_range_ha,EvoM1 traits,diet & ecology,diet_ecology,,,HomeRange.ha,ha,,,True,Maximum reported home range. Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
Trophic_guild,EvoM1 traits,diet & ecology,diet_ecology,,,Trophic_guild,category,,,True,Wilman 2014 EltonTraits trophic guild. Superseded by the body_ecology merge; kept as fallback. Source table: ____EvoM1_TraitTable/diet_foraging.xlsx — Wilman et al. 2014 EltonTraits diet & foraging table.,
Trophic_guild (category),Body & ecology,diet & ecology,diet_ecology,,,Trophic_guild,category,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Trophic_level,EvoM1 traits,diet & ecology,diet_ecology,,,TrophicLevel,ordinal,,,True,Lewitus 2014. Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
log10_dp1_mm (log10 mm),Behaviour,hand & limb morphology,hand_morphology,Hand,hand,dp1.Length.log10mm,log10 mm,,_keys/variable_catalog.csv:Liu_etal_2016,True,Merge-file row: measure_class reused verbatim from the merge. Value is log10 of length in mm and has NOT been back-transformed.,
log10_dp2_mm (log10 mm),Behaviour,hand & limb morphology,hand_morphology,Hand,hand,dp2.Length.log10mm,log10 mm,,_keys/variable_catalog.csv:Liu_etal_2016,True,Merge-file row: measure_class reused verbatim from the merge. Value is log10 of length in mm and has NOT been back-transformed.,
log10_dp3_mm (log10 mm),Behaviour,hand & limb morphology,hand_morphology,Hand,hand,dp3.Length.log10mm,log10 mm,,_keys/variable_catalog.csv:Liu_etal_2016,True,Merge-file row: measure_class reused verbatim from the merge. Value is log10 of length in mm and has NOT been back-transformed.,
log10_dp4_mm (log10 mm),Behaviour,hand & limb morphology,hand_morphology,Hand,hand,dp4.Length.log10mm,log10 mm,,_keys/variable_catalog.csv:Liu_etal_2016,True,Merge-file row: measure_class reused verbatim from the merge. Value is log10 of length in mm and has NOT been back-transformed.,
log10_dp5_mm (log10 mm),Behaviour,hand & limb morphology,hand_morphology,Hand,hand,dp5.Length.log10mm,log10 mm,,_keys/variable_catalog.csv:Liu_etal_2016,True,Merge-file row: measure_class reused verbatim from the merge. Value is log10 of length in mm and has NOT been back-transformed.,
log10_ip2_mm (log10 mm),Behaviour,hand & limb morphology,hand_morphology,Hand,hand,ip2.Length.log10mm,log10 mm,,_keys/variable_catalog.csv:Liu_etal_2016,True,Merge-file row: measure_class reused verbatim from the merge. Value is log10 of length in mm and has NOT been back-transformed.,
log10_ip3_mm (log10 mm),Behaviour,hand & limb morphology,hand_morphology,Hand,hand,ip3.Length.log10mm,log10 mm,,_keys/variable_catalog.csv:Liu_etal_2016,True,Merge-file row: measure_class reused verbatim from the merge. Value is log10 of length in mm and has NOT been back-transformed.,
log10_ip4_mm (log10 mm),Behaviour,hand & limb morphology,hand_morphology,Hand,hand,ip4.Length.log10mm,log10 mm,,_keys/variable_catalog.csv:Liu_etal_2016,True,Merge-file row: measure_class reused verbatim from the merge. Value is log10 of length in mm and has NOT been back-transformed.,
log10_ip5_mm (log10 mm),Behaviour,hand & limb morphology,hand_morphology,Hand,hand,ip5.Length.log10mm,log10 mm,,_keys/variable_catalog.csv:Liu_etal_2016,True,Merge-file row: measure_class reused verbatim from the merge. Value is log10 of length in mm and has NOT been back-transformed.,
log10_mc1_mm (log10 mm),Behaviour,hand & limb morphology,hand_morphology,Hand,hand,mc1.Length.log10mm,log10 mm,,_keys/variable_catalog.csv:Liu_etal_2016,True,Merge-file row: measure_class reused verbatim from the merge. Value is log10 of length in mm and has NOT been back-transformed.,
log10_mc2_mm (log10 mm),Behaviour,hand & limb morphology,hand_morphology,Hand,hand,mc2.Length.log10mm,log10 mm,,_keys/variable_catalog.csv:Liu_etal_2016,True,Merge-file row: measure_class reused verbatim from the merge. Value is log10 of length in mm and has NOT been back-transformed.,
log10_mc3_mm (log10 mm),Behaviour,hand & limb morphology,hand_morphology,Hand,hand,mc3.Length.log10mm,log10 mm,,_keys/variable_catalog.csv:Liu_etal_2016,True,Merge-file row: measure_class reused verbatim from the merge. Value is log10 of length in mm and has NOT been back-transformed.,
log10_mc4_mm (log10 mm),Behaviour,hand & limb morphology,hand_morphology,Hand,hand,mc4.Length.log10mm,log10 mm,,_keys/variable_catalog.csv:Liu_etal_2016,True,Merge-file row: measure_class reused verbatim from the merge. Value is log10 of length in mm and has NOT been back-transformed.,
log10_mc5_mm (log10 mm),Behaviour,hand & limb morphology,hand_morphology,Hand,hand,mc5.Length.log10mm,log10 mm,,_keys/variable_catalog.csv:Liu_etal_2016,True,Merge-file row: measure_class reused verbatim from the merge. Value is log10 of length in mm and has NOT been back-transformed.,
log10_pp1_mm (log10 mm),Behaviour,hand & limb morphology,hand_morphology,Hand,hand,pp1.Length.log10mm,log10 mm,,_keys/variable_catalog.csv:Liu_etal_2016,True,Merge-file row: measure_class reused verbatim from the merge. Value is log10 of length in mm and has NOT been back-transformed.,
log10_pp2_mm (log10 mm),Behaviour,hand & limb morphology,hand_morphology,Hand,hand,pp2.Length.log10mm,log10 mm,,_keys/variable_catalog.csv:Liu_etal_2016,True,Merge-file row: measure_class reused verbatim from the merge. Value is log10 of length in mm and has NOT been back-transformed.,
log10_pp3_mm (log10 mm),Behaviour,hand & limb morphology,hand_morphology,Hand,hand,pp3.Length.log10mm,log10 mm,,_keys/variable_catalog.csv:Liu_etal_2016,True,Merge-file row: measure_class reused verbatim from the merge. Value is log10 of length in mm and has NOT been back-transformed.,
log10_pp4_mm (log10 mm),Behaviour,hand & limb morphology,hand_morphology,Hand,hand,pp4.Length.log10mm,log10 mm,,_keys/variable_catalog.csv:Liu_etal_2016,True,Merge-file row: measure_class reused verbatim from the merge. Value is log10 of length in mm and has NOT been back-transformed.,
log10_pp5_mm (log10 mm),Behaviour,hand & limb morphology,hand_morphology,Hand,hand,pp5.Length.log10mm,log10 mm,,_keys/variable_catalog.csv:Liu_etal_2016,True,Merge-file row: measure_class reused verbatim from the merge. Value is log10 of length in mm and has NOT been back-transformed.,
peak_workspace (index),Behaviour,hand & limb morphology,hand_morphology,,,peak_workspace,index,,,True,Merge-file row: measure_class reused verbatim from the merge.,
real_size (index),Behaviour,hand & limb morphology,hand_morphology,,,real_size,index,,,True,Merge-file row: measure_class reused verbatim from the merge.,
relative_size (index),Behaviour,hand & limb morphology,hand_morphology,,,relative_size,index,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Age_at_eye_opening_days,EvoM1 traits,life history,life_history,,,AgeEyeOpening.days,days,,,True,Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
Age_at_first_breeding_days,EvoM1 traits,life history,life_history,,,AgeFirstBreeding.days,days,,,True,Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
Age_at_first_breeding_F_mnths,EvoM1 traits,life history,life_history,,,AgeFirstBreeding.mo,months,,,True,Female. Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
Altricial_precocial,EvoM1 traits,life history,life_history,,,DevelopmentMode,category,,,True,Altricial vs precocial neonate. Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
Dispersal_age_days,EvoM1 traits,life history,life_history,,,DispersalAge.days,days,,,True,Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
Female_sexual_maturity (days),Body & ecology,life history,life_history,,,Female_sexual_maturity,days,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Female_sexual_maturity_days,EvoM1 traits,life history,life_history,,,SexualMaturity.days,days,,,True,Superseded by Female_sexual_maturity (days). Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
Gestation (days),Body & ecology,life history,life_history,,,Gestation,days,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Gestation_days,EvoM1 traits,life history,life_history,,,Gestation.days,days,,,True,Superseded by Gestation (days). Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
Inter-litter_interval_days,EvoM1 traits,life history,life_history,,,InterLitterInterval.days,days,,,True,Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
Juvenility_days,EvoM1 traits,life history,life_history,,,Juvenility.days,days,,,True,Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
Juvenility_primates_years,EvoM1 traits,life history,life_history,,,Juvenility.yr,years,,,True,Primates only. Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
Litter_size,EvoM1 traits,life history,life_history,,,LitterSize.count,count,,,True,Superseded by Litter_size (count). Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
Litter_size (count),Body & ecology,life history,life_history,,,Litter_size,count,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Litters_per_year,EvoM1 traits,life history,life_history,,,LittersPerYear.count,count/yr,,,True,Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
Male_sexual_maturity_days,EvoM1 traits,life history,life_history,,,SexualMaturity.days,days,,,True,No merge counterpart — the body_ecology merge carries only the female value. Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
Maximum_lifespan_yrs,EvoM1 traits,life history,life_history,,,MaxLongevity.yr,yr,,,True,Superseded by Maximum_longevity (yr). Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
Maximum_longevity (yr),Body & ecology,life history,life_history,,,Maximum_longevity,yr,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Weaning_age (days),Body & ecology,life history,life_history,,,Weaning_age,days,,,True,Merge-file row: measure_class reused verbatim from the merge.,
