score,n_species,measure,tables,primary,review,indexed,id,cite,year,authors,title,journal,doi,groups,pdf,chars
13.2,4,5,0,0,0,True,5050,Heffner 2018,2018,"Heffner, Henry E.; Heffner, Rickye S.",The evolution of mammalian hearing,AIP Conference Proceedings,10.1063/1.5038516,auditory visual evolution data refs,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2828678823/Heffner-2018-The evolution of mammalian hearin.pdf,27579
13.2,2,9,0,10,0,True,2358,Geyer 2011,2011,"Geyer, S.; Weiss, M.; Reimann, K.; +2",Microstructural Parcellation of the Human Cerebral Cortex - From Brodmann's Post-Mortem Map to in vivo Mapping with High-Field Magnetic Resonance Imaging,Front Hum Neurosci,10.3389/fnhum.2011.00019,V1 vol interindiv,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/4274450340/Geyer--Microstructural Parc.pdf,39666
13.2,0,31,3,2,0,True,5483,Seeley 2005,2005,"Seeley, W. W.; Bauer, A. M.; Miller, B. L.; +4",The natural history of temporal variant frontotemporal dementia,Neurol,,insula,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1267939883/seeley_etal_2005.pdf,39700
13.2,2,19,1,2,0,True,5518,Sincich 2004,2004,"Sincich, L. C.; Park, K. F.; Wohlgemuth, M. J.; +1",Bypassing V1: a direct geniculate input to area MT,Nat Neurosci,,lgn,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3687447407/Sincich_etal_2004.pdf,36007
13.2,2,7,2,5,0,True,2477,Kamiya 1988,1988,"Kamiya, T.; Pirlot, P.",The Brain of the Malayan Bear (Helarctos-Malayanus),Z Zool Syst Evol,10.1111/j.1439-0469.1988.tb00312.x,Stephan Zilles collections,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/4131174014/Kamiya-1988-The Brain of the Mal.pdf,32576
13.0,4,6,1,0,2,True,4540,Lacreuse 2018,2018,"Lacreuse, A.; Parr, L.; Chennareddi, L.; +1",Age-related decline in cognitive flexibility in female chimpanzees,Neurobiol Aging,10.1016/j.neurobiolaging.2018.08.018,catarrhine aging brain structure data,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2057337240/Lacreuse-2018-Age-related decline in cognitive.pdf,41229
12.8,0,9,7,0,0,True,42,van Velden 2009,2009,"van Velden, F. H. P.; Kloet, R. W.; van Berckel, B. N. M.; +4",HRRT Versus HR plus Human Brain PET Studies: An Interscanner Test-Retest Study,J Nucl Med,10.2967/jnumed.108.058628,brain structure metabolism data for comparing,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3264626266/van Velden-2009-HRRT Versus HR plus.pdf,45265
12.8,1,31,0,4,0,True,6118,Anderson 2002,2002,"Anderson, J. C.; Martin, K. A.",Connection from cortical area V2 to MT in macaque monkey,J Comp Neurol,,Visual Cortex,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/4147069074/Anderson-2002-Connection from cort.pdf,54006
12.5,2,24,0,1,0,True,1368,Mathur 2009,2009,"Mathur, B. N.; Caprioli, R. M.; Deutch, A. Y.",Proteomic analysis illuminates a novel structural definition of the claustrum and insula,Cereb Cortex,10.1093/cercor/bhn253,claustrum,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2383229438/Mathur-2009-Proteomic analysis i.pdf,45172
12.5,1,4,1,14,0,True,5698,Lee 2003,2003,"Lee, S. H.; Wolpoff, M. H.",The pattern of evolution in Pleistocene human brain size,Paleobiology,,endocranial refs,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1820456431/lee_wolpoff_2003.pdf,34791
12.5,3,0,2,1,0,True,2147,Parr 2000,2000,"Parr, L. A.; Hopkins, W. D.","Brain temperature asymmetries and emotional perception in chimpanzees, Pan troglodytes",Physiol Behav,,Brains and Endocrania,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2509931022/Parr-2000-Brain temperature as.pdf,46994
12.5,1,6,4,4,0,True,7127,Beaumont 1978,1978,"Beaumont, P B; de Villiers, Hertha; Vogel, J. C.",Modern man in sub-Saharan Africa prior to 49 000 years B.P.: a review and evaluation with particular reference to Border Cave,S Afr J Sci,10.10520/AJA00382353_7162,endocranial refs,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2744000297/Beaumont-1978-Modern man in sub-Saharan Africa.pdf,65610
12.2,0,43,0,5,1,True,7814,Sereno 2020,2020,"Sereno, M. I.; Diedrichsen, J.; Tachrount, M.; +3",The human cerebellum has almost 80% of the surface area of the neocortex,Proc Natl Acad Sci U S A,10.1073/pnas.2002896117,cerebellum,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0501223409/Sereno-2020-The human cerebellum has almost 80.pdf,30851
12.2,0,49,0,0,0,True,2086,Agosta 2013,2013,"Agosta, S. J.; Bernardo, J.",New macroecological insights into functional constraints on mammalian geographical range size,Proc Biol Sci,10.1098/rspb.2013.0140,home range,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0746926210/Agosta-2013-New macroecological.pdf,34989
12.2,3,1,2,0,0,True,1759,Opie 2013,2013,"Opie, C.; Atkinson, Q. D.; Dunbar, R. I.; +1",Male infanticide leads to social monogamy in primates,Proc Natl Acad Sci U S A,10.1073/pnas.1307903110,mating system,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3557391502/Opie-Dunbar.pdf,33887
12.2,0,13,2,12,0,True,2741,Nilsson 1976,1976,"Nilsson, B.; Siesjo, B. K.",A method for determining blood flow and oxygen consumption in the rat brain,Acta Physiol Scand,10.1111/j.1748-1716.1976.tb10172.x,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3443299141/Nilsson-1976-A method for determi.pdf,32770
12.2,0,7,5,6,0,True,1321,Coleridge 1958,1958,"Coleridge, J. C.; Hemingway, A.",Partition of the venous return of the heart,J Physiol,,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3922957435/Coleridge_1958.pdf,36155
12.0,3,8,1,1,1,True,4568,Kerney 2017,2017,"Kerney, M.; Smaers, J. B.; Schoenemann, P. T.; +1",The coevolution of play and the cortico-cerebellar system in primates,Primates,10.1007/s10329-017-0615-x,cerebellum,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0639286227/Kerney-2017-The coevolution of play and the co.pdf,32018
12.0,2,4,3,1,0,True,2773,Cross 2000,2000,"Cross, D. J.; Minoshima, S.; Nishimura, S.; +3",Three-dimensional stereotactic surface projection analysis of macaque brain PET: Development and initial applications,J Nucl Med,,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1989352323/cross_etal_2000.pdf,50568
12.0,1,4,2,10,0,True,5648,Rightmire 1983,1983,"Rightmire, G. P.",The Lake Ndutu cranium and early Homo sapiens in Africa,Am J Phys Anthropol,10.1002/ajpa.1330610214,endocranial refs,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3622644221/Rightmire-1983-The Lake Ndutu crani.pdf,36962
11.5,0,46,0,0,0,True,1083,Fortin 2008,2008,"Fortin, Madeleine; Voss, Patrice; Lord, Catherine; +5",Wayfinding in the blind: larger hippocampal volume and supranormal spatial navigation,Brain,10.1093/brain/awn250,hippocampus,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3681287317/Fortin-2008-Wayfinding in the bl.pdf,51596
11.5,0,28,3,0,0,True,7442,Whiting 2003,2003,"Whiting, B. A.; Barton, R. A.",The evolution of the cortico-cerebellar complex in primates: anatomical connections predict patterns of correlated evolution,J Hum Evol,,cerebellum,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1715845809/Whiting_2003.pdf,26214
11.5,0,12,2,11,0,True,7111,Clarke 1994,1994,"Clarke, S.",Modular organization of human extrastriate visual cortex: evidence from cytochrome oxidase pattern in normal and macular degeneration cases,Eur J Neurosci,10.1111/j.1460-9568.1994.tb00984.x,Visual Cortex,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2911737386/Clarke-1994-Modular organization.pdf,57078
11.5,1,28,1,0,0,True,5548,Shea 1983,1983,"Shea, B. T.",Phyletic Size Change and Brain Body Allometry - a Consideration Based on the African Pongids and Other Primates,Int J Primatol,10.1007/Bf02739359,Brain Size Scaling,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1345211321/Shea-1983-Phyletic Size Change.pdf,76326
11.2,1,15,1,6,0,True,8954,Buckmaster 2004,2004,"Buckmaster, C. A.; Eichenbaum, H.; Amaral, D. G.; +2",Entorhinal cortex lesions disrupt the relational organization of memory in monkeys,J Neurosci,10.1523/jneurosci.1532-04.2004,entorhinal cortex and grid cells,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0602430067/Buckmaster-2004-Entorhinal cortex lesions disr.pdf,90877
11.2,3,5,0,2,0,True,5739,Mufson 1984,1984,"Mufson, E. J.; Mesulam, M. M.",Thalamic connections of the insula in the rhesus monkey and comments on the paralimbic connectivity of the medial pulvinar nucleus,J Comp Neurol,,insula,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0373565108/mufson_mesulam_1984.pdf,39186
11.0,0,10,7,2,3,True,9031,Yang 2022,2022,"Yang, Andrew C.; Vest, Ryan T.; Kern, Fabian; +21",A human brain vascular atlas reveals diverse mediators of Alzheimer’s risk,Nature,10.1038/s41586-021-04369-3,cellular composition,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1461176797/Yang-2022-A human brain vascular atlas reveals.pdf; /sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2942286568/Screenshot 2024-03-13 at 13.36.51.png,101141
11.0,1,2,0,15,0,True,5452,White 2003,2003,"White, T.; Asfaw, B.; DeGusta, D.; +4","Pleistocene Homo sapiens from Middle Awash, Ethiopia",Nature,10.1038/nature01669,endocranial refs,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/4169396490/White-2003-Pleistocene Homo sap.pdf,28704
11.0,0,4,3,11,0,True,6716,Mori 1996,1996,"Mori, S.",Neuropeptide Y-like immunoreactivity in area 17 of chimpanzee,Okajimas Folia Anat Jpn,,Visual Cortex,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3539312808/Mori-1996-Neuropeptide Y-like.pdf,27830
10.8,0,29,2,1,0,True,962,Critchley 2004,2004,"Critchley, H. D.; Wiens, S.; Rotshtein, P.; +2",Neural systems supporting interoceptive awareness,Nat Neurosci,"10.1038/nn1176nn1176 [pii]",insula,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0253674535/critchley_etal_2004.pdf,41882
10.8,0,29,2,1,0,True,1922,Wimer 1971,1971,"Wimer, Cynthia C.; Wimer, Richard E.; Roderick, Thomas H.",Some behavioral differences associated with relative size of hippocampus in the mouse,J Comp Physiol Psych,10.1037/h0031036,hippocampus,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3326962309/Wimer-1971-Some behavioral diff.pdf,29023
10.5,0,30,2,0,0,True,7642,Karbowski 2019,2019,"Karbowski, J.",Metabolic constraints on synaptic learning and memory,J Neurophysiol,10.1152/jn.00092.2019,brain structure metabolism data for comparing,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2775885509/Karbowski-2019-Metabolic constraints on synapt.pdf,111181
10.5,0,6,1,15,0,True,3815,Hitti 2014,2014,"Hitti, F. L.; Siegelbaum, S. A.",The hippocampal CA2 region is essential for social memory,Nature,10.1038/nature13028,Hippocampus regions,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0939183393/Hitti-2014-The hippocampal CA2.pdf,65838
10.5,0,4,2,13,0,True,5555,Seeley 2006,2006,"Seeley, W. W.; Carlin, D. A.; Allman, J. M.; +4",Early frontotemporal dementia targets neurons unique to apes and humans,Ann Neurol,10.1002/ana.21055,insula; VENs,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2937836293/seeley_etal_2006.pdf,38411
10.2,2,11,1,0,0,True,2171,Gaston 2009,2009,"Gaston, K. J.",Geographic range limits: achieving synthesis,Proc Biol Sci,10.1098/rspb.2008.1480,home range,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3395591612/Gaston-2009-Geographic range lim.pdf,71849
10.2,1,23,1,0,0,True,1280,Jetz 2004,2004,"Jetz, W.; Carbone, C.; Fulford, J.; +1",The scaling of animal space use,Science,10.1126/science.1102138,home range,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3594751251/Jetz.SOM.pdf; /sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1335354338/Jetz-2004-The scaling of anima.pdf,30674
10.2,0,43,3,0,5,True,916,Greenberg 1999,1999,"Greenberg, J. A.",Organ metabolic rates and aging: two hypotheses,Med Hypotheses,10.1054/mehy.1997.0619,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0306851320/Greenberg-1999-Organ metabolic rate.pdf,37406
10.2,0,31,0,5,0,True,1980,Jacobs 1994,1994,"Jacobs, L. F.; Spencer, W. D.",Natural space-use patterns and hippocampal size in kangaroo rats,Brain Behav Evol,10.1159/000113584,home range; hippocampus,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1423977622/jacobs_spencer_1994.PDF,32829
10.2,3,5,0,0,0,True,786,Shiokawa 1992,1992,"Shiokawa, Y.; Delgado-Zygmunt, T. J.; Arbab, M. A.; +1",Effect of pre- and postganglionic lesioning of the trigeminal nerve on cerebral blood flow and glucose metabolism following a subarachnoid haemorrhage in the squirrel monkey,Br J Neurosurg,,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2775476041/shiokawa_etal_1992.pdf,52040
10.2,0,9,0,16,0,True,716,Mesulam 1982,1982,"Mesulam, M. M.; Mufson, E. J.",Insula of the old world monkey. I. Architectonics in the insulo-orbito-temporal component of the paralimbic brain,J Comp Neurol,,insula,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0937558955/mesulam_mufson_1982_I.pdf,74643
10.2,2,1,1,5,0,True,2271,Fries 1981,1981,"Fries, W.",The projection from the lateral geniculate nucleus to the prestriate cortex of the macaque monkey,Proc Biol Sci,10.2307/35624,lgn,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1379413094/fries_1981.pdf,22056
10.0,2,10,0,3,0,True,9029,Lewitus 2016,2016,"Lewitus, E.; Kelava, I.; Kalinka, A. T.; +2","Comment on ""Cortical folding scales universally with surface area and thickness, not number of neurons""",Science,10.1126/science.aad2029,cellular composition,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3956736905/Lewitus-2016-Comment on _Cortical folding scal.pdf,11840
10.0,3,0,0,2,0,True,586,Mesulam 1982,1982,"Mesulam, M. M.; Mufson, E. J.",Insula of the old world monkey. III: Efferent cortical output and comments on function,J Comp Neurol,,insula,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3520709987/mesulam_mufson_1982_III.pdf,56200
9.8,1,9,3,0,0,True,7759,Lind 2017,2017,"Lind, Olle; Milton, Ida; Andersson, Elin; +2",High visual acuity revealed in dogs,PloS one,10.1371/journal.pone.0188557,auditory visual evolution data refs,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1645830851/Lind-2017-High visual acuity revealed in dogs.pdf,35646
9.8,0,21,3,0,0,True,5532,Schoenemann 2000,2000,"Schoenemann, P. T.; Budinger, T. F.; Sarich, V. M.; +1",Brain size does not predict general cognitive ability within families,Proc Natl Acad Sci U S A,,prefrontal,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0356719801/Schoenemann-2000-Brain size does not.pdf,37465
9.5,0,34,0,2,0,True,1764,Nie 2012,2012,"Nie, J.; Guo, L.; Li, K.; +27",Axonal fiber terminations concentrate on gyri,Cereb Cortex,10.1093/cercor/bhr361,gyrification,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0796425834/Nie-2011-Axonal Fiber Termina.pdf,35686
9.5,0,38,0,0,0,True,1647,Sowell 2003,2003,"Sowell, E. R.; Peterson, B. S.; Thompson, P. M.; +3",Mapping cortical change across the human life span,Nat Neurosci,10.1038/nn1008,brain structure vol life history health,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3470194583/Sowell-2003-Mapping cortical cha.pdf,37660
9.5,3,2,0,0,0,True,8333,Whishaw 2003,2003,"Whishaw, I. Q.",Did a change in sensory control of skilled movements stimulate the evolution of the primate frontal cortex?,Behav Brain Res,10.1016/j.bbr.2003.09.027,evo M1 reading list,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1734575189/whishaw_2003.pdf,55332
9.5,0,12,0,13,0,True,8943,Nudo 1990,1990,"Nudo, R. J.; Masterton, R. B.","Descending pathways to the spinal cord, IV: Some factors related to the amount of cortex devoted to the corticospinal tract",J Comp Neurol,10.1002/cne.902960406,traits evo M1,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2480143764/Nudo-1990-Descending pathways to the spinal co.pdf,50735
9.5,0,12,3,4,0,True,1736,Huang 1980,1980,"Huang, S. C.; Phelps, M. E.; Hoffman, E. J.; +3",Noninvasive determination of local cerebral metabolic rate of glucose in man,Am J Physiol,,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3555830842/huang_etal_1980.pdf,71947
9.2,0,19,0,9,0,True,3061,Fernandez-Miranda 2008,2008,"Fernandez-Miranda, J. C.; Rhoton, A. L., Jr.; Kakizawa, Y.; +2",The claustrum and its projection system in the human brain: a microsurgical and tractographic anatomical study,J Neurosurg,10.3171/JNS/2008/108/4/0764,claustrum,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3988219316/FernandezMiranda_etal_2008.pdf,57828
9.2,1,17,0,4,0,True,2436,Schleifenbaum 1973,1973,"Schleifenbaum, Christine",Untersuchungen zur postnatalen Ontogenese des Gehirns von Großpudeln und Wölfen,Z Anat Entwicklungsgesch,10.1007/BF00519885,brain structure size data,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2407636605/Schleifenbaum-1973-Untersuchungen zur p.pdf,66867
9.0,0,18,3,0,0,True,2540,Paulus 2012,2012,"Paulus, M. P.; Flagan, T.; Simmons, A. N.; +7",Subjecting elite athletes to inspiratory breathing load reveals behavioral and neural signatures of optimal performers in extreme environments,PLoS One,10.1371/journal.pone.0029394,insula,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3139294210/Paulus-2012-Subjecting elite ath.pdf,58505
9.0,2,12,0,0,0,True,1602,Craig 2002,2002,"Craig, A. D.",How do you feel? Interoception: the sense of the physiological condition of the body,Nat Rev Neurosci,"10.1038/nrn894nrn894 [pii]",insula,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2259174960/craig_2002.pdf,86773
9.0,0,10,4,1,0,True,1753,Heiss 1984,1984,"Heiss, W. D.; Pawlik, G.; Herholz, K.; +3",Regional kinetic constants and cerebral metabolic rate for glucose in normal human volunteers determined by dynamic positron emission tomography of [18F]-2-fluoro-2-deoxy-D-glucose,J Cereb Blood Flow Metab,10.1038/jcbfm.1984.30,brain structure metabolism data for comparing,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3285473908/Heiss-1984-Regional kinetic con.pdf,51482
9.0,1,16,0,4,0,True,5450,von Economo 1929,1929,"von Economo, C.",The Cytoarchitechtonics of the Human Cortex,,,insula,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0640711980/von_economo_1929.pdf,110872
8.8,1,19,1,1,1,True,9570,Saniotis 2014,2014,"Saniotis, A.; Henneberg, M.; Kumaratilake, J.; +1","""Messing with the mind"": evolutionary challenges to human brain augmentation",Front Syst Neurosci,10.3389/fnsys.2014.00152,sleep and AI etc,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3829176195/Saniotis-2014-_Messing with the mind__ evoluti.pdf,40259
8.8,1,31,0,0,2,True,2157,Healy 2005,2005,"Healy, S. D.; de Kort, S. R.; Clayton, N. S.","The hippocampus, spatial memory and food hoarding: a puzzle revisited",Trends Ecol Evol,10.1016/j.tree.2004.10.006,brain structure size data; hippocampus,"/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2395389845/Healy-2005-The hippocampus, spa.pdf",37232
8.8,1,19,2,0,2,True,974,Toyama 2004,2004,"Toyama, H.; Ichise, M.; Liow, J. S.; +8",Absolute quantification of regional cerebral glucose utilization in mice by 18F-FDG small animal PET scanning and 2-14C-DG autoradiography,J Nucl Med,45/8/1398 [pii],brain structure metabolism data for comparing,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3459796691/Toyama-2004-Absolute quantificat.pdf,41567
8.8,0,17,3,0,0,True,366,Elia 1992,1992,"Elia, M.",Organ and tissue contribution to metabolic rate.,Energy Metabolism: Tissue Determinants and Cellular Corollaries,,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2590466287/Elia_1992_Organ and Tissue - Energy Metabolism pp61-77.pdf,44265
8.5,1,16,0,3,0,True,8371,Gordon 2022,2022,"Gordon, Evan M.; Chauvin, Roselyne J.; Van, Andrew N.; +43",A mind-body interface alternates with effector-specific regions in motor cortex,bioRxiv,10.1101/2022.10.26.513940,evo M1 reading list,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0304089161/Gordon-2022-A mind-body interface alternates w.pdf,101999
8.5,2,0,0,5,0,True,1503,Martin 1997,1997,"Martin, P. R.; White, A. J.; Goodchild, A. K.; +2",Evidence that blue-on cells are part of the third geniculocortical pathway in primates,Eur J Neurosci,10.1111/j.1460-9568.1997.tb01509.x,lgn,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/4070241119/Martin-1997-Evidence that blue-o.pdf,23091
8.5,0,14,2,4,0,True,1052,Chugani 1991,1991,"Chugani, H. T.; Hovda, D. A.; Villablanca, J. R.; +2",Metabolic maturation of the brain: a study of local cerebral glucose utilization in the developing cat,J Cereb Blood Flow Metab,,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2349503188/Chugani-1991-Metabolic maturation.pdf,57051
8.2,0,5,0,14,0,True,5604,Nassi 2006,2006,"Nassi, J. J.; Callaway, E. M.",Multiple circuits relaying primate parallel visual pathways to the middle temporal area,J Neurosci,,lgn,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2507255881/Nassi-2006-Multiple circuits re.pdf,65721
8.2,0,7,4,1,0,True,5890,Hasnain 2001,2001,"Hasnain, M. K.; Fox, P. T.; Woldorff, M. G.",Structure--function spatial covariance in the human visual cortex,Cereb Cortex,,Visual Cortex,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1326326173/Hasnain-2001-Structure--function.pdf,80497
8.2,2,1,0,4,0,True,6024,Cowey 1981,1981,"Cowey, A.",Why are there so many visual areas?,The Organization of the Cerebral Cortex,,Visual Cortex,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/4161525440/cowey_1981orgcerebcort.pdf,46530
8.0,0,28,0,2,0,True,4581,Marek 2018,2018,"Marek, Scott; Siegel, Joshua S.; Gordon, Evan M.; +26",Spatial and Temporal Organization of the Individual Human Cerebellum,Neuron,10.1016/j.neuron.2018.10.010,cerebellum,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1677157263/Marek-2018-Spatial and Temporal Organization o.pdf,113800
8.0,0,16,2,2,0,True,810,Shimoji 2004,2004,"Shimoji, K.; Ravasi, L.; Schmidt, K.; +7","Measurement of cerebral glucose metabolic rates in the anesthetized rat by dynamic scanning with 18F-FDG, the ATLAS small animal PET scanner, and arterial blood sampling",J Nucl Med,,brain structure metabolism data for comparing,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2542193012/Shimoji-2004-Measurement of cereb.pdf,37657
8.0,0,12,1,7,0,True,289,Huberman 2002,2002,"Huberman, Andrew D.; Stellwagen, David; Chapman, Barbara",Decoupling Eye-Specific Segregation from Lamination in the Lateral Geniculate Nucleus,J Neurosci,,lgn,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0616734673/huberman_etal_2002.pdf,54973
8.0,0,0,4,4,0,True,6308,Wake 1993,1993,"Wake, Marvalee H.",Non-traditional characters in the assessment of caecilian phylogenetic relationships,Herpetological Monographs,10.2307/1466950,Neuroanatomical Phylogenies,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0829196782/Wake-1993-Non-traditional char.pdf,48499
8.0,0,14,0,9,0,True,768,Kennedy 1978,1978,"Kennedy, C.; Sakurada, O.; Shinohara, M.; +2",Local cerebral glucose utilization in the normal conscious macaque monkey,Ann Neurol,10.1002/ana.410040402,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3226382154/kennedy_etal_1978.pdf,39087
8.0,0,26,1,0,0,True,2557,Stahl 1965,1965,"Stahl, W. R.",Organ weights in primates and other mammals,Science,"10.1126/science.150.3699.103910.2307/1717925",metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2000419804/Stahl-1965-Organ weights in pri.pdf,22539
7.8,2,3,2,0,2,True,4214,Mezzera 2016,2016,"Mezzera, C.; Lopez-Bendito, G.",Cross-modal plasticity in sensory deprived animal models: From the thalamocortical development point of view,J Chem Neuroanat,10.1016/j.jchemneu.2015.09.005,sleep and AI etc,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1007277215/Mezzera-2016-Cross-modal plasticity in sensory.pdf,64485
7.8,0,23,1,1,0,True,5949,Ejima 2003,2003,"Ejima, Y.; Takahashi, S.; Yamamoto, H.; +4",Interindividual and interspecies variations of the extrastriate visual cortex,Neuroreport,,Visual Cortex,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1160402720/ejima_etal_2003.pdf,24652
7.8,0,21,1,2,0,True,2599,Snyder 1995,1995,"Snyder, P. J.; Bilder, R. M.; Wu, H.; +2",Cerebellar volume asymmetries are related to handedness: a quantitative MRI study,Neuropsychologia,,cerebellum,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2542674956/Snyder-1995-Cerebellar volume as.pdf,41663
7.8,0,15,1,5,0,True,7982,Pawlik 1989,1989,"Pawlik, G.; Heiss, W. D.",Positron emission tomography and neuropsychological function,Neuropsychological function and brain,10.1007/978-1-4899-2534-3_4,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0309198983/Pawlik-1989-Positron emission tomography and n.pdf,174014
7.5,2,2,1,1,1,True,8610,Wirthlin 2020,2020,"Wirthlin, Morgan; Kaplow, Irene M.; Lawler, Alyssa J.; +5",The Regulatory Evolution of the Primate Fine-Motor System,bioRxiv,10.1101/2020.10.27.356733,evo M1 reading list,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0719885349/Wirthlin-2020-The Regulatory Evolution of the.pdf,63711
7.5,1,6,2,0,0,True,913,Chugani 1987,1987,"Chugani, H. T.; Phelps, M. E.; Mazziotta, J. C.",Positron emission tomography study of human brain functional development,Ann Neurol,10.1002/ana.410220408,brain structure metabolism data for comparing,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3443299142/Chugani-1987-Positron emission to.pdf,48978
7.5,0,18,2,0,0,True,2898,Sokoloff 1979,1979,"Sokoloff, L.",Mapping of local cerebral functional activity by measurement of local cerebral glucose utilization with [14C]deoxyglucose,Brain,10.1093/brain/102.4.653,brain structure metabolism data for comparing,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1396028860/Sokoloff-1979-MAPPING OF LOCAL CER.pdf,38889
7.5,1,2,2,2,0,True,1492,Rosenkilde 1979,1979,"Rosenkilde, C. E.",Functional heterogeneity of the prefrontal cortex in the monkey: a review,Behav Neural Biol,10.1016/S0163-1047(79)90404-7,prefrontal,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3714505828/Rosenkilde-1979-Functional heterogen.pdf,139999
