canonical_specimen,record_type,specimen_kind,access_class,evidence_source_ids,specimen_name,primary_identifier,alternate_identifiers,collection,source_publication,item_reference,printed_name,published_taxon,resolved_taxon,taxon_concept,taxon_conflict,match,sex,note
ZILLES-HYLOBATES-GPZ-5542,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003;PUB_DESOUSA_2010;PUB_MACLEOD_2000,Disco,GPZ-5542,Disco 3/97; hld,Hirnforschung,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Hylobates lar (Disco 3/97),Hylobates lar,,,TRUE,matched,F,Table 2 archive label 'Disco 3/97' is the identifier de Sousa 2010 Table 1 prints for the same brain; brain volume 115.8 cm3 in both. This is the printed origin of the 115800 mm3 brain volume DeCasien & Higham 2019 enter under both Hylobates_lar and Nomascus_concolor.
ZILLES-HYLOBATES-GPZ-5542,specimen,historical_biological_specimen,public,PUB_BARGER_2014;PUB_BARGER_2007,Disco,GPZ-5542,Disco 3/97; hld,Zilles/Semendeferi,Barger_etal_2014,Barger_etal_2014_Table1,Nomascus concolor,Nomascus concolor,,,TRUE,probable,F,"Case 19, in_barger2007 = Y, no specimen handle printed. Left-hemisphere lateral 0.060 / basal 0.086 / accessory basal 0.022 / total 0.270 cc equal Barger 2007 Table 1's Disco left values exactly, and Disco is the only Barger 2007 gibbon not accounted for by case 18 (= YN81-146). Value-level identity; the Nomascus concolor label is Barger 2014's re-identification of the same brain published as Hylobates lar in 2007."
ZILLES-HYLOBATES-GPZ-5542,specimen,historical_biological_specimen,public,PUB_DECASIEN_HIGHAM_2019;PUB_BARGER_2007;PUB_BARGER_2014;PUB_MACLEOD_2003;PUB_DESOUSA_2010,Disco,GPZ-5542,Disco 3/97; hld,Zilles/Semendeferi,DeCasien_Higham_2019,DeCasien_Higham_2019_BrainRegion r217,Nomascus_concolor,Nomascus concolor,,,TRUE,probable,F,"DeCasien data row r217 (refs 56,57; N = 1): Amygdala 637 = Barger 2007 Table 1 Disco amygdaloid complex L 0.270 + R 0.367 cc; BV 115800 = MacLeod 2003 Table 2 / de Sousa 2010 Table 1 Disco 3/97 brain volume 115.8 cm3; Hippocampus 1900 and Striatum 3988 = Barger 2014 Table 1 case 19 Nomascus concolor. Cross-genus duplicate of the brain DeCasien also enters as Hylobates_lar (BV 115800, row r154 citing ref 60). Taxon label follows Barger 2014; see Disco_gibbon_specimen_note.md."
YERKES-PANTRO-JCARTER,specimen,in_vivo_subject,public,PUB_SCHENKER_2005_APPENDIX1,jcarter,jcarter,,Yerkes,Schenker_etal_2005,Schenker_etal_2005_Appendix1,Pan troglodytes,Pan troglodytes,Pan troglodytes,,FALSE,Schenker-only,M,"Schenker et al. 2005 Appendix 1 individual 'jcarter', a living Yerkes-derived MRI subject; specimen_kind = in_vivo_subject."
YERKES-PANTRO-LAZ,specimen,in_vivo_subject,public,PUB_SCHENKER_2005_APPENDIX1,laz,laz,,Yerkes,Schenker_etal_2005,Schenker_etal_2005_Appendix1,Pan troglodytes,Pan troglodytes,Pan troglodytes,,FALSE,Schenker-only,M,"Schenker et al. 2005 Appendix 1 individual 'laz', a living Yerkes-derived MRI subject; specimen_kind = in_vivo_subject."
YERKES-PANTRO-LULU,specimen,in_vivo_subject,public,PUB_SCHENKER_2005_APPENDIX1,lulu,lulu,,Yerkes,Schenker_etal_2005,Schenker_etal_2005_Appendix1,Pan troglodytes,Pan troglodytes,Pan troglodytes,,FALSE,Schenker-only,F,"Schenker et al. 2005 Appendix 1 individual 'lulu', a living Yerkes-derived MRI subject; specimen_kind = in_vivo_subject."
YERKES-PANTRO-MARY,specimen,in_vivo_subject,public,PUB_SCHENKER_2005_APPENDIX1,mary,mary,,Yerkes,Schenker_etal_2005,Schenker_etal_2005_Appendix1,Pan troglodytes,Pan troglodytes,Pan troglodytes,,FALSE,Schenker-only,F,"Schenker et al. 2005 Appendix 1 individual 'mary', a living Yerkes-derived MRI subject; specimen_kind = in_vivo_subject."
YERKES-PANTRO-MERV,specimen,in_vivo_subject,public,PUB_SCHENKER_2005_APPENDIX1,merv,merv,,Yerkes,Schenker_etal_2005,Schenker_etal_2005_Appendix1,Pan troglodytes,Pan troglodytes,Pan troglodytes,,FALSE,Schenker-only,M,"Schenker et al. 2005 Appendix 1 individual 'merv', a living Yerkes-derived MRI subject; specimen_kind = in_vivo_subject."
YERKES-PANPAN-BO,specimen,in_vivo_subject,public,PUB_SCHENKER_2005_APPENDIX1,bo,bo,,Yerkes,Schenker_etal_2005,Schenker_etal_2005_Appendix1,Pan paniscus,Pan paniscus,Pan paniscus,,FALSE,Schenker-only,M,"Schenker et al. 2005 Appendix 1 individual 'bo', a living Yerkes-derived MRI subject; specimen_kind = in_vivo_subject."
YERKES-PANPAN-BRIAN,specimen,in_vivo_subject,public,PUB_SCHENKER_2005_APPENDIX1,brian,brian,,Yerkes,Schenker_etal_2005,Schenker_etal_2005_Appendix1,Pan paniscus,Pan paniscus,Pan paniscus,,FALSE,Schenker-only,M,"Schenker et al. 2005 Appendix 1 individual 'brian', a living Yerkes-derived MRI subject; specimen_kind = in_vivo_subject."
YERKES-PANPAN-JILL,specimen,in_vivo_subject,public,PUB_SCHENKER_2005_APPENDIX1,jill,jill,,Yerkes,Schenker_etal_2005,Schenker_etal_2005_Appendix1,Pan paniscus,Pan paniscus,Pan paniscus,,FALSE,Schenker-only,F,"Schenker et al. 2005 Appendix 1 individual 'jill', a living Yerkes-derived MRI subject; specimen_kind = in_vivo_subject."
YERKES-GORILLA-KEKLA,specimen,in_vivo_subject,public,PUB_SCHENKER_2005_APPENDIX1,kekla,kekla,,Yerkes,Schenker_etal_2005,Schenker_etal_2005_Appendix1,Gorilla gorilla,Gorilla gorilla,Gorilla gorilla,,FALSE,Schenker-only,M,"Schenker et al. 2005 Appendix 1 individual 'kekla', a living Yerkes-derived MRI subject; specimen_kind = in_vivo_subject."
YERKES-GORILLA-KINYANI,specimen,in_vivo_subject,public,PUB_SCHENKER_2005_APPENDIX1,kinyani,kinyani,,Yerkes,Schenker_etal_2005,Schenker_etal_2005_Appendix1,Gorilla gorilla,Gorilla gorilla,Gorilla gorilla,,FALSE,Schenker-only,F,"Schenker et al. 2005 Appendix 1 individual 'kinyani', a living Yerkes-derived MRI subject; specimen_kind = in_vivo_subject."
YERKES-PONGO-HATI,specimen,in_vivo_subject,public,PUB_SCHENKER_2005_APPENDIX1,hati,hati,,Yerkes,Schenker_etal_2005,Schenker_etal_2005_Appendix1,Pongo pygmaeus,Pongo pygmaeus,Pongo pygmaeus,,FALSE,Schenker-only,F,"Schenker et al. 2005 Appendix 1 individual 'hati', a living Yerkes-derived MRI subject; specimen_kind = in_vivo_subject."
YERKES-PONGO-MENTUBAR,specimen,in_vivo_subject,public,PUB_SCHENKER_2005_APPENDIX1,mentubar,mentubar,,Yerkes,Schenker_etal_2005,Schenker_etal_2005_Appendix1,Pongo pygmaeus,Pongo pygmaeus,Pongo pygmaeus,,FALSE,Schenker-only,M,"Schenker et al. 2005 Appendix 1 individual 'mentubar', a living Yerkes-derived MRI subject; specimen_kind = in_vivo_subject."
YERKES-PONGO-MINYAK,specimen,in_vivo_subject,public,PUB_SCHENKER_2005_APPENDIX1,minyak,minyak,,Yerkes,Schenker_etal_2005,Schenker_etal_2005_Appendix1,Pongo pygmaeus,Pongo pygmaeus,Pongo pygmaeus,,FALSE,Schenker-only,M,"Schenker et al. 2005 Appendix 1 individual 'minyak', a living Yerkes-derived MRI subject; specimen_kind = in_vivo_subject."
YERKES-PONGO-MOLEK,specimen,in_vivo_subject,public,PUB_SCHENKER_2005_APPENDIX1,molek,molek,,Yerkes,Schenker_etal_2005,Schenker_etal_2005_Appendix1,Pongo pygmaeus,Pongo pygmaeus,Pongo pygmaeus,,FALSE,Schenker-only,M,"Schenker et al. 2005 Appendix 1 individual 'molek', a living Yerkes-derived MRI subject; specimen_kind = in_vivo_subject."
YERKES-HYLOBATES-736_IL,specimen,in_vivo_subject,public,PUB_SCHENKER_2005_APPENDIX1,736_il,736_il,,Yerkes,Schenker_etal_2005,Schenker_etal_2005_Appendix1,Hylobates lar,Hylobates lar,Hylobates lar,,FALSE,Schenker-only,F,"Schenker et al. 2005 Appendix 1 individual '736_il', a living Yerkes-derived MRI subject; specimen_kind = in_vivo_subject."
YERKES-HYLOBATES-BUDDY,specimen,in_vivo_subject,public,PUB_SCHENKER_2005_APPENDIX1,buddy,buddy,,Yerkes,Schenker_etal_2005,Schenker_etal_2005_Appendix1,Hylobates lar,Hylobates lar,Hylobates lar,,FALSE,Schenker-only,M,"Schenker et al. 2005 Appendix 1 individual 'buddy', a living Yerkes-derived MRI subject; specimen_kind = in_vivo_subject."
YERKES-HYLOBATES-GIBBON4,specimen,in_vivo_subject,public,PUB_SCHENKER_2005_APPENDIX1,gibbon4,gibbon4,,Yerkes,Schenker_etal_2005,Schenker_etal_2005_Appendix1,Hylobates lar,Hylobates lar,Hylobates lar,,FALSE,Schenker-only,M,"Schenker et al. 2005 Appendix 1 individual 'gibbon4', a living Yerkes-derived MRI subject; specimen_kind = in_vivo_subject."
YERKES-HOMO-1,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,1,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Homo sapiens 1,Homo sapiens,Homo sapiens,,FALSE,MacLeod-only,F,"Printed specimen row in MacLeod etal 2003 Table1; identifier is a table-local sequence label, not a collection accession, so this row cannot be joined to another publication on identifier alone. Registered from the published table; no private evidence used."
YERKES-HOMO-2,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,2,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Homo sapiens 2,Homo sapiens,Homo sapiens,,FALSE,MacLeod-only,M,"Printed specimen row in MacLeod etal 2003 Table1; identifier is a table-local sequence label, not a collection accession, so this row cannot be joined to another publication on identifier alone. Registered from the published table; no private evidence used."
YERKES-HOMO-3,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,3,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Homo sapiens 3,Homo sapiens,Homo sapiens,,FALSE,MacLeod-only,F,"Printed specimen row in MacLeod etal 2003 Table1; identifier is a table-local sequence label, not a collection accession, so this row cannot be joined to another publication on identifier alone. Registered from the published table; no private evidence used."
YERKES-HOMO-4,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,4,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Homo sapiens 4,Homo sapiens,Homo sapiens,,FALSE,MacLeod-only,F,"Printed specimen row in MacLeod etal 2003 Table1; identifier is a table-local sequence label, not a collection accession, so this row cannot be joined to another publication on identifier alone. Registered from the published table; no private evidence used."
YERKES-HOMO-5,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,5,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Homo sapiens 5,Homo sapiens,Homo sapiens,,FALSE,MacLeod-only,M,"Printed specimen row in MacLeod etal 2003 Table1; identifier is a table-local sequence label, not a collection accession, so this row cannot be joined to another publication on identifier alone. Registered from the published table; no private evidence used."
YERKES-HOMO-6,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,6,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Homo sapiens 6,Homo sapiens,Homo sapiens,,FALSE,MacLeod-only,M,"Printed specimen row in MacLeod etal 2003 Table1; identifier is a table-local sequence label, not a collection accession, so this row cannot be joined to another publication on identifier alone. Registered from the published table; no private evidence used."
YERKES-GORILLA-KINYANI,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Kinyani,Kinyani,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Gorilla gorilla (Kinyani),Gorilla gorilla,Gorilla gorilla,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-GORILLA-KEKLA,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Kekla,Kekla,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Gorilla gorilla (Kekla),Gorilla gorilla,Gorilla gorilla,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-PANPAN-BRIAN,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Brian,Brian,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Pan paniscus (Brian),Pan paniscus,Pan paniscus,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-PANPAN-BOSANDJO,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Bosandjo,Bosandjo,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Pan paniscus (Bosandjo),Pan paniscus,Pan paniscus,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-PANPAN-LOREL,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Lorel,Lorel,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Pan paniscus (Lorel),Pan paniscus,Pan paniscus,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-PANPAN-JILL,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Jill,Jill,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Pan paniscus (Jill),Pan paniscus,Pan paniscus,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-PANTRO-KENGEE,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Kengee,Kengee,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Pan troglodytes (Kengee),Pan troglodytes,Pan troglodytes,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-PANTRO-MERV,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Merv,Merv,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Pan troglodytes (Merv),Pan troglodytes,Pan troglodytes,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-PANTRO-JIMMY-CARTER,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,Jimmy Carter,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Pan troglodytes (Jimmy Carter),Pan troglodytes,Pan troglodytes,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-PANTRO-LAZ,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Laz,Laz,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Pan troglodytes (Laz),Pan troglodytes,Pan troglodytes,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-PANTRO-LULU,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Lulu,Lulu,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Pan troglodytes (Lulu),Pan troglodytes,Pan troglodytes,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-PANTRO-MARY,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Mary,Mary,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Pan troglodytes (Mary),Pan troglodytes,Pan troglodytes,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-PANTRO-PANZEE,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Panzee,Panzee,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Pan troglodytes (Panzee),Pan troglodytes,Pan troglodytes,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-PONGO-HATI,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Hati,Hati,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Pongo pygmaeus(Hati),Pongo pygmaeus,Pongo pygmaeus,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-PONGO-MENTUBAR,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Mentubar,Mentubar,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Pongo pygmaeus(Mentubar),Pongo pygmaeus,Pongo pygmaeus,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-PONGO-MINYAK,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Minyak,Minyak,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Pongo pygmaeus(Minyak),Pongo pygmaeus,Pongo pygmaeus,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-PONGO-MOLEK,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Molek,Molek,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Pongo pygmaeus(Molek),Pongo pygmaeus,Pongo pygmaeus,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-HYLOBATES-SUNNY,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Sunny,Sunny,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Hylobates lar (Sunny),Hylobates lar,Hylobates lar,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-HYLOBATES-CHEROKEE,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Cherokee,Cherokee,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Hylobates lar (Cherokee),Hylobates lar,Hylobates lar,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-HYLOBATES-CLEO,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Cleo,Cleo,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Hylobates lar (Cleo),Hylobates lar,Hylobates lar,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-HYLOBATES-BUDDY,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Buddy,Buddy,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Hylobates lar (Buddy),Hylobates lar,Hylobates lar,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-PAPIO-B263,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,B263,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Papio cynocephalus (B263),Papio cynocephalus,Papio cynocephalus,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-PAPIO-140M,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,140M,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Papio cynocephalus (140M),Papio cynocephalus,Papio cynocephalus,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-CEBUAPE-BINKEY,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Binkey,Binkey,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Cebus apella (Binkey),Cebus apella,Cebus apella,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-CEBUAPE-DIVA,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Diva,Diva,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Cebus apella (Diva),Cebus apella,Cebus apella,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-CEBUAPE-ANDY,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Andy,Andy,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Cebus apella (Andy),Cebus apella,Cebus apella,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-CEBUAPE-VINCENT,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Vincent,Vincent,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Cebus apella (Vincent),Cebus apella,Cebus apella,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-MACACA-153C,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,153C,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Macaca mulatta (153C),Macaca mulatta,Macaca mulatta,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-MACACA-RAI5,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,RAI5,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Macaca mulatta (RAI5),Macaca mulatta,Macaca mulatta,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-MACACA-REG3,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,REG3,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Macaca mulatta (REG3),Macaca mulatta,Macaca mulatta,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-MACACA-RUL1,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,RUL1,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Macaca mulatta (RUL1),Macaca mulatta,Macaca mulatta,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-MACACA-RPE1,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,RPE1,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Macaca mulatta (RPE1),Macaca mulatta,Macaca mulatta,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-MACACA-RAK5,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,RAK5,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Macaca mulatta (RAK5),Macaca mulatta,Macaca mulatta,,FALSE,matched,,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-CERCTOR-FYF,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,FYF,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Cercocebus torquatus atys (FYF),Cercocebus torquatus atys,Cercocebus torquatus atys,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-CERCTOR-FSO,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,FSO,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Cercocebus torquatus atys (FSO),Cercocebus torquatus atys,Cercocebus torquatus atys,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-CERCTOR-FFK,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,FFK,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Cercocebus torquatus atys (FFK),Cercocebus torquatus atys,Cercocebus torquatus atys,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-CERCTOR-FWJ,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,FWJ,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Cercocebus torquatus atys (FWJ),Cercocebus torquatus atys,Cercocebus torquatus atys,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-SAIMIRI-93M,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,93M,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Saimiri sciureus (93M),Saimiri sciureus,Saimiri sciureus,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-SAIMIRI-93I,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,93I,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Saimiri sciureus (93I),Saimiri sciureus,Saimiri sciureus,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-SAIMIRI-S104,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,S104,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Saimiri sciureus (S104),Saimiri sciureus,Saimiri sciureus,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YERKES-SAIMIRI-S105,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,S105,,Yerkes,MacLeod_etal_2003,MacLeod_etal_2003_Table1,Saimiri sciureus (S105),Saimiri sciureus,Saimiri sciureus,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-HOMO-139-95,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,139/95,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Homo sapiens (139/95),Homo sapiens,Homo sapiens,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-HOMO-H9-88,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,H9/88,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Homo sapiens (H9/88),Homo sapiens,Homo sapiens,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
